0.339,1,-2.44929e-16
0.344,1.0001,0.0399973
0.349001,1.0004,0.0799787
0.354004,1.0009,0.119928
0.359011,1.0016,0.159829
0.364021,1.0025,0.199667
0.369036,1.0036,0.239424
0.374057,1.00489,0.279086
0.379085,1.00639,0.318636
0.384121,1.00808,0.358059
0.389166,1.00997,0.397339
0.394221,1.01205,0.436459
0.399287,1.01433,0.475405
0.404365,1.01681,0.514161
0.409456,1.01947,0.552711
0.41456,1.02233,0.59104
0.419679,1.02538,0.629133
0.424814,1.02862,0.666974
0.429966,1.03205,0.704548
0.435135,1.03567,0.741841
0.440323,1.03947,0.778837
0.44553,1.04346,0.815521
0.450758,1.04762,0.851879
0.456006,1.05197,0.887896
0.461278,1.0565,0.923558
0.466572,1.06121,0.958851
0.47189,1.06609,0.99376
0.477233,1.07115,1.02827
0.482602,1.07637,1.06237
0.487997,1.08177,1.09605
0.49342,1.08733,1.12928
0.498871,1.09306,1.16207
0.504351,1.09895,1.19439
0.50986,1.105,1.22623
0.515401,1.11121,1.25759
0.520973,1.11758,1.28844
0.526577,1.1241,1.31877
0.532214,1.13077,1.34858
0.537885,1.13758,1.37784
0.54359,1.14454,1.40656
0.54933,1.15165,1.43471
0.555107,1.15889,1.46229
0.56092,1.16627,1.48929
0.56677,1.17378,1.51569
0.572658,1.18142,1.54148
0.578584,1.1892,1.56665
0.58455,1.19709,1.5912
0.590555,1.20511,1.61512
0.596601,1.21324,1.63838
0.602688,1.22149,1.66099
0.608816,1.22985,1.68294
0.614986,1.23832,1.70422
0.621199,1.24689,1.72481
0.627456,1.25556,1.74471
0.633755,1.26434,1.76392
0.640099,1.2732,1.78241
0.646487,1.28216,1.8002
0.652921,1.2912,1.81727
0.6594,1.30033,1.83361
0.665924,1.30954,1.84921
0.672495,1.31882,1.86408
0.679113,1.32818,1.8782
0.685777,1.3376,1.89157
0.692489,1.34709,1.90418
0.699248,1.35664,1.91603
0.706055,1.36625,1.92712
0.712911,1.37591,1.93743
0.719814,1.38562,1.94697
0.726767,1.39538,1.95573
0.733768,1.40518,1.96371
0.740819,1.41502,1.9709
0.747919,1.42489,1.9773
0.755068,1.43479,1.98292
0.762266,1.44472,1.98774
0.769515,1.45466,1.99176
0.776813,1.46463,1.99499
0.784161,1.47461,1.99742
0.791559,1.4846,1.99905
0.799007,1.4946,1.99988
0.806505,1.5046,1.99992
0.814053,1.5146,1.99915
0.821651,1.52459,1.99758
0.829299,1.53457,1.99521
0.836997,1.54454,1.99205
0.844745,1.55449,1.98809
0.852542,1.56442,1.98333
0.860389,1.57433,1.97778
0.868285,1.5842,1.97144
0.876231,1.59404,1.96431
0.884225,1.60384,1.95639
0.892269,1.6136,1.9477
0.900361,1.62332,1.93822
0.908502,1.63298,1.92797
0.916691,1.64259,1.91694
0.924928,1.65215,1.90515
0.933212,1.66164,1.8926
0.941544,1.67107,1.87929
0.949923,1.68044,1.86523
0.958349,1.68973,1.85042
0.96682,1.69894,1.83488
0.975338,1.70807,1.81859
0.983901,1.71712,1.80159
0.992509,1.72609,1.78386
1.00116,1.73496,1.76541
1.00986,1.74374,1.74627
1.0186,1.75242,1.72642
1.02738,1.761,1.70588
1.03621,1.76948,1.68466
1.04508,1.77785,1.66277
1.05399,1.78611,1.64021
1.06294,1.79425,1.61699
1.07193,1.80228,1.59313
1.08096,1.81018,1.56863
1.09003,1.81796,1.54351
1.09914,1.82561,1.51776
1.10829,1.83314,1.49141
1.11747,1.84053,1.46446
1.12669,1.84778,1.43693
1.13595,1.8549,1.40882
1.14524,1.86187,1.38015
1.15457,1.8687,1.35093
1.16393,1.87538,1.32116
1.17332,1.88191,1.29087
1.18275,1.88829,1.26006
1.1922,1.89451,1.22875
1.20169,1.90057,1.19694
1.21121,1.90648,1.16466
1.22076,1.91222,1.13191
1.23033,1.91779,1.09871
1.23993,1.9232,1.06507
1.24956,1.92844,1.031
1.25922,1.93351,0.996523
1.2689,1.93841,0.961645
1.2786,1.94313,0.926383
1.28833,1.94767,0.890749
1.29808,1.95204,0.85476
1.30785,1.95622,0.818428
1.31764,1.96022,0.78177
1.32745,1.96404,0.744798
1.33728,1.96767,0.707529
1.34713,1.97111,0.669976
1.35699,1.97437,0.632156
1.36687,1.97743,0.594083
1.37676,1.98031,0.555772
1.38667,1.98299,0.517239
1.39659,1.98548,0.478499
1.40653,1.98777,0.439567
1.41647,1.98987,0.40046
1.42643,1.99178,0.361193
1.43639,1.99349,0.321781
1.44636,1.995,0.28224
1.45634,1.99631,0.242587
1.46632,1.99742,0.202836
1.47631,1.99834,0.163004
1.48631,1.99905,0.123107
1.4963,1.99957,0.0831613
1.5063,1.99988,0.043182
1.5163,2,0.00318531
1.5263,2,0
1.5363,2,0
1.5463,2,0
1.5563,2,0
1.5663,2,0
1.5763,2,0
1.5863,2,0
1.5963,2,0
1.6063,2,0
1.6163,2,0
1.6263,2,0
1.6363,2,0
1.6463,2,0
1.6563,2,0
1.6663,2,0
1.6763,2,0
1.6863,2,0
1.6963,2,0
1.7063,2,0
1.7163,2,0
1.7263,2,0
1.7363,2,0
1.7463,2,0
1.7563,2,0
1.7663,2,0
1.7763,2,0
1.7863,2,0
1.7963,2,0
1.8063,2,0
1.8163,2,0
1.8263,2,0
1.8363,2,0
1.8463,2,0
1.8563,2,0
1.8663,2,0
1.8763,2,0
1.8863,2,0
1.8963,2,0
1.9063,2,0
1.9163,2,0
1.9263,2,0
1.9363,2,0
1.9463,2,0
1.9563,2,0
1.9663,2,0
1.9763,2,0
1.9863,2,0
1.9963,2,0
